md_source_lnp_id,feature,display_name,family,source_mean_shap,source_mean_abs_shap,source_md_value,mapped_rows,descriptor_zscore
LNP854,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.010831344951743371,0.010831344951743371,0.0030948529024837,2,-1.010641130019589
LNP854,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0013230933272818605,0.0013230933272818605,7.525267326732673,2,-0.40476825161994073
LNP854,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.0018208657145890436,0.0018208657145890436,68.20792079207921,2,-0.6700149548167375
LNP854,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,-0.00044355087246293834,0.00044355087246293834,0.3358069445544553,2,-0.5607143699795487
LNP854,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.0009937321848533117,0.0009937321848533117,2.122658108910891,2,0.5119134810118132
LNP854,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.0017461498051787982,0.0017461498051787982,0.0560373470614616,2,-0.6158018523637726
LNP854,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.01722808998641486,0.01722808998641486,8.215774848512889e-05,2,-0.6635818545983084
LNP858,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,-0.002500964074239936,0.002500964074239936,10.968207019801978,6,1.2868557421067839
LNP858,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,-0.004335094222369332,0.004335094222369332,10.996099425742576,6,1.290824377009281
LNP858,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,-0.0008926767676767671,0.0008926767676767671,11.327454425742578,6,1.3661621049128128
LNP858,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.015326412940345632,0.015326412940345632,1016.6465940594056,6,-1.7332293949381543
LNP858,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,-0.0010370546598994872,0.0010370546598994872,0.087026729854831,6,-1.306123998918977
LNP858,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.008417536226475507,0.008417536226475507,0.20878144691008624,6,0.5571632491902028
LNP858,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0066432500290258935,0.0066432500290258935,5.766475247524753,6,-1.2484815496390573
LNP858,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,0.018717891815381665,0.018717891815381665,208.4356435643564,6,0.546885276377561
LNP858,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,0.0008509510125889429,0.0008509510125889429,0.3430204831683168,6,-0.5094902726695362
LNP858,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.002269331759137407,0.002269331759137407,2.123560346534653,6,0.5852436694368247
LNP858,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,0.009207830258540193,0.009207830258540193,0.149654436759183,6,0.43800818858374024
LNP858,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,-0.0031547432452604853,0.0031547432452604853,0.1954791303720854,6,2.0350122814380636
