analysis_row_id,lnp_id,paper_doi,md_source_lnp_id,transfection_active,fold,feature,display_name,family,shap_value,abs_shap_value,md_value
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.027724683614127305,0.027724683614127305,5.001151435643564
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0010266932380957954,0.0010266932380957954,7.525267326732673
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,-0.0005086550391296049,0.0005086550391296049,0.3358069445544553
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.0014212664196884789,0.0014212664196884789,68.20792079207921
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.0017221130031042592,0.0017221130031042592,0.0560373470614616
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.011512691380045745,0.011512691380045745,0.0030948529024837
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.027643932015391295,0.027643932015391295,0.2013188084534357
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.01753233955724758,0.01753233955724758,8.215774848512889e-05
272,636,10.1021/jacs.2c12893,LNP858,0,5,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,-0.0006843434343434338,0.0006843434343434338,11.327454425742577
272,636,10.1021/jacs.2c12893,LNP858,0,5,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,-0.004441997615910657,0.004441997615910657,10.996099425742576
