seed,weighting,metric,baseline,baseline_plus_md,delta_md_minus_baseline
2010,row_weighted,pr_auc_active,0.45192307692307687,0.55995670995671,0.10803363303363311
2010,row_weighted,pr_auc_inactive,0.5379208093493808,0.7745421245421246,0.23662131519274376
2010,row_weighted,balanced_accuracy,0.4642857142857143,0.7023809523809523,0.23809523809523803
2010,row_weighted,macro_f1,0.46153846153846156,0.6904761904761905,0.2289377289377289
2010,row_weighted,mcc,-0.07142857142857142,0.4147575310031266,0.486186102431698
2011,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2011,row_weighted,pr_auc_active,0.49173789173789173,0.55995670995671,0.06821881821881826
2011,row_weighted,pr_auc_inactive,0.6168890633176347,0.7745421245421246,0.15765306122448985
2011,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2011,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2011,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2012,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2012,row_weighted,pr_auc_active,0.49173789173789173,0.55995670995671,0.06821881821881826
2012,row_weighted,pr_auc_inactive,0.6168890633176347,0.7745421245421246,0.15765306122448985
2012,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2012,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2012,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2013,row_weighted,roc_auc,0.4761904761904762,0.6428571428571429,0.16666666666666669
2013,row_weighted,pr_auc_active,0.475071225071225,0.55995670995671,0.08488548488548497
2013,row_weighted,pr_auc_inactive,0.6069684283969998,0.7745421245421246,0.16757369614512474
2013,row_weighted,balanced_accuracy,0.45238095238095233,0.7023809523809523,0.25
2013,row_weighted,macro_f1,0.4484848484848485,0.6904761904761905,0.24199134199134198
2013,row_weighted,mcc,-0.09759000729485333,0.4147575310031266,0.51234753829798
2014,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2014,row_weighted,pr_auc_active,0.49173789173789173,0.545970695970696,0.0542328042328043
2014,row_weighted,pr_auc_inactive,0.6168890633176347,0.6793040293040293,0.06241496598639462
2014,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2014,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2014,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2015,row_weighted,roc_auc,0.5238095238095238,0.6428571428571429,0.11904761904761907
2015,row_weighted,pr_auc_active,0.5036426536426536,0.55995670995671,0.05631405631405639
2015,row_weighted,pr_auc_inactive,0.6304945054945055,0.7745421245421246,0.1440476190476191
2015,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2015,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2015,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2016,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2016,row_weighted,pr_auc_active,0.4890572390572391,0.545970695970696,0.05691345691345695
2016,row_weighted,pr_auc_inactive,0.7022065236350951,0.6793040293040293,-0.022902494331065726
2016,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2016,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2016,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2017,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
2017,row_weighted,pr_auc_active,0.475071225071225,0.545970695970696,0.07089947089947102
2017,row_weighted,pr_auc_inactive,0.6069684283969998,0.6793040293040293,0.07233560090702951
2017,row_weighted,balanced_accuracy,0.45238095238095233,0.7023809523809523,0.25
2017,row_weighted,macro_f1,0.4484848484848485,0.6904761904761905,0.24199134199134198
2017,row_weighted,mcc,-0.09759000729485333,0.4147575310031266,0.51234753829798
2018,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
2018,row_weighted,pr_auc_active,0.4777167277167277,0.545970695970696,0.06825396825396834
2018,row_weighted,pr_auc_inactive,0.599145299145299,0.6793040293040293,0.08015873015873032
2018,row_weighted,balanced_accuracy,0.6190476190476191,0.7023809523809523,0.08333333333333326
2018,row_weighted,macro_f1,0.6153846153846154,0.6904761904761905,0.07509157509157505
2018,row_weighted,mcc,0.23809523809523808,0.4147575310031266,0.17666229290788854
2019,row_weighted,roc_auc,0.4761904761904762,0.6428571428571429,0.16666666666666669
2019,row_weighted,pr_auc_active,0.475071225071225,0.55995670995671,0.08488548488548497
2019,row_weighted,pr_auc_inactive,0.6069684283969998,0.7745421245421246,0.16757369614512474
2019,row_weighted,balanced_accuracy,0.4642857142857143,0.6309523809523809,0.16666666666666663
2019,row_weighted,macro_f1,0.46153846153846156,0.606060606060606,0.1445221445221444
2019,row_weighted,mcc,-0.07142857142857142,0.2828894749305018,0.35431804635907327
2020,row_weighted,roc_auc,0.5476190476190477,0.6428571428571429,0.09523809523809523
2020,row_weighted,pr_auc_active,0.5195156695156695,0.55995670995671,0.040441040441040466
2020,row_weighted,pr_auc_inactive,0.6432496075353218,0.7745421245421246,0.13129251700680278
2020,row_weighted,balanced_accuracy,0.6904761904761905,0.7023809523809523,0.011904761904761862
2020,row_weighted,macro_f1,0.6904761904761905,0.6904761904761905,0.0
2020,row_weighted,mcc,0.38095238095238093,0.4147575310031266,0.03380515005074569
