feature_1,family_1,feature_2,family_2,spearman_rho,absolute_rho,p_value,bh_adjusted_p
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_LNP_only_SASA_nm2_mean_last100ns,size_shape,-0.14285714285714288,0.14285714285714288,0.7871720116618075,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,-0.14285714285714288,0.14285714285714288,0.7871720116618075,0.9571545189504373
md_RNA_Rg_nm_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.14285714285714288,0.14285714285714288,0.7871720116618075,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_RNA_Rg_nm_mean_last100ns,size_shape,0.08571428571428573,0.08571428571428573,0.8717434402332361,0.9571545189504373
md_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,0.08571428571428573,0.08571428571428573,0.8717434402332361,0.9571545189504373
md_RNA_Rg_nm_mean_last100ns,size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,0.08571428571428573,0.08571428571428573,0.8717434402332361,0.9571545189504373
md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,0.08571428571428573,0.08571428571428573,0.8717434402332361,0.9571545189504373
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_RNA_Rg_nm_mean_last100ns,size_shape,-0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,-0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,-0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_RNA_Rg_nm_mean_last100ns,size_shape,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,0.028571428571428574,0.028571428571428574,0.9571545189504373,0.9571545189504373
